Date,Hospital,State,Daily,Blood_a,Blood_b,Blood_o,Blood_ab,Location_centre,Location_mobile,Type_wholeblood,Type_apheresis_platelet,Type_apheresis_plasma,Type_other,Social_civilian,Social_student,Social_policearmy,Donations_new,Donations_regular,Donations_irregular
2/1/2020,Hospital Sultanah Bahiyah,Kedah,69,19,16,28,6,9,60,69,0,0,0,34,35,0,10,46,13
2/1/2020,Hospital Raja Perempuan Zainab II,Kelantan,13,3,2,8,0,5,8,13,0,0,0,9,4,0,3,8,2
2/1/2020,Hospital Melaka,Melaka,9,1,2,4,2,9,0,9,0,0,0,9,0,0,3,6,0
2/1/2020,Hospital Tuanku Jaafar,Negeri Sembilan,26,6,10,10,0,26,0,26,0,0,0,24,2,0,2,22,2
2/1/2020,Hospital Tengku Ampuan Afzan,Pahang,9,2,1,5,1,9,0,9,0,0,0,9,0,0,2,6,1
2/1/2020,Hospital Sultan Haji Ahmad Shah,Pahang,4,1,0,3,0,4,0,4,0,0,0,4,0,0,0,2,2
2/1/2020,Hospital Seberang Jaya,Pulau Pinang,3,1,1,1,0,3,0,3,0,0,0,3,0,0,0,1,2
2/1/2020,Hospital Pulau Pinang,Pulau Pinang,35,10,4,18,3,35,0,33,1,0,1,32,2,1,6,26,3
2/1/2020,Hospital Raja Permaisuri Bainun,Perak,28,8,5,14,1,15,13,27,1,0,0,27,0,1,9,14,5
2/1/2020,Hospital Taiping,Perak,20,6,4,8,2,20,0,20,0,0,0,20,0,0,4,15,1
2/1/2020,Hospital Seri Manjung,Perak,4,1,0,3,0,4,0,4,0,0,0,3,1,0,2,1,1
2/1/2020,Hospital Tengku Ampuan Rahimah,Selangor,39,8,7,19,5,11,28,39,0,0,0,33,6,0,7,23,9
2/1/2020,Hospital Sultanah Nur Zahirah,Terengganu,30,9,6,14,1,10,20,30,0,0,0,25,5,0,5,16,9
2/1/2020,Hospital Queen Elizabeth II,Sabah,72,17,14,39,2,5,67,72,0,0,0,66,4,2,12,37,23
2/1/2020,Hospital Duchess Of Kent,Sabah,6,1,3,2,0,6,0,6,0,0,0,5,1,0,2,2,2
2/1/2020,Hospital Tawau,Sabah,3,0,2,0,1,3,0,3,0,0,0,3,0,0,0,3,0
2/1/2020,Hospital Umum Sarawak,Sarawak,17,5,6,6,0,17,0,17,0,0,0,17,0,0,2,14,1
2/1/2020,Hospital Miri,Sarawak,10,3,2,5,0,10,0,10,0,0,0,9,1,0,2,8,0
2/1/2020,Hospital Sibu,Sarawak,9,2,1,6,0,9,0,9,0,0,0,9,0,0,1,7,1
2/1/2020,Pusat Darah Negara,Wilayah Persekutuan (Kuala Lumpur),139,31,36,64,8,87,52,123,13,3,0,120,14,5,13,107,19
3/1/2020,Hospital Sultanah Nora Ismail,Johor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2020,Hospital Sultanah Aminah,Johor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2020,Hospital Sultanah Bahiyah,Kedah,173,42,54,68,9,0,173,173,0,0,0,172,1,0,25,120,28
3/1/2020,Hospital Raja Perempuan Zainab II,Kelantan,18,4,4,6,4,0,18,18,0,0,0,11,6,1,3,8,7
3/1/2020,Hospital Melaka,Melaka,9,2,1,6,0,9,0,9,0,0,0,9,0,0,3,6,0
3/1/2020,Hospital Tuanku Jaafar,Negeri Sembilan,40,6,11,22,1,24,16,40,0,0,0,32,7,1,6,26,8
3/1/2020,Hospital Tengku Ampuan Afzan,Pahang,5,0,1,3,1,5,0,5,0,0,0,4,1,0,1,3,1
3/1/2020,Hospital Sultan Haji Ahmad Shah,Pahang,6,1,2,2,1,6,0,6,0,0,0,6,0,0,0,6,0
3/1/2020,Hospital Seberang Jaya,Pulau Pinang,7,1,2,4,0,7,0,7,0,0,0,7,0,0,0,6,1
3/1/2020,Hospital Pulau Pinang,Pulau Pinang,38,13,4,19,2,38,0,36,2,0,0,38,0,0,6,29,3
3/1/2020,Hospital Raja Permaisuri Bainun,Perak,26,3,11,12,0,15,11,21,5,0,0,20,5,1,6,16,4
3/1/2020,Hospital Taiping,Perak,16,5,5,4,2,16,0,16,0,0,0,15,1,0,1,13,2
3/1/2020,Hospital Seri Manjung,Perak,6,1,1,4,0,6,0,6,0,0,0,4,0,2,1,4,1
3/1/2020,Hospital Tengku Ampuan Rahimah,Selangor,52,9,18,21,4,11,41,52,0,0,0,48,4,0,9,27,16
3/1/2020,Hospital Sultanah Nur Zahirah,Terengganu,28,9,9,8,2,0,28,28,0,0,0,24,4,0,8,16,4
3/1/2020,Hospital Queen Elizabeth II,Sabah,37,9,7,19,2,7,30,37,0,0,0,37,0,0,5,27,5
3/1/2020,Hospital Duchess Of Kent,Sabah,4,0,0,4,0,4,0,4,0,0,0,4,0,0,1,3,0
3/1/2020,Hospital Tawau,Sabah,4,2,0,2,0,4,0,4,0,0,0,4,0,0,0,4,0
3/1/2020,Hospital Umum Sarawak,Sarawak,25,5,6,11,3,14,11,25,0,0,0,19,6,0,5,16,4
3/1/2020,Hospital Miri,Sarawak,6,3,0,3,0,6,0,6,0,0,0,6,0,0,0,6,0
3/1/2020,Hospital Sibu,Sarawak,3,1,0,2,0,3,0,3,0,0,0,3,0,0,0,3,0
3/1/2020,Pusat Darah Negara,Wilayah Persekutuan (Kuala Lumpur),284,80,73,118,13,87,197,260,14,10,0,166,113,5,69,172,43
4/1/2020,Hospital Sultanah Nora Ismail,Johor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2020,Hospital Sultanah Aminah,Johor,137,38,38,56,5,0,137,137,0,0,0,126,7,4,37,72,28
4/1/2020,Hospital Sultanah Bahiyah,Kedah,48,12,10,22,4,0,48,48,0,0,0,36,12,0,8,29,11
4/1/2020,Hospital Raja Perempuan Zainab II,Kelantan,73,24,18,24,7,0,73,73,0,0,0,66,7,0,16,47,10
4/1/2020,Hospital Melaka,Melaka,114,31,29,47,7,9,105,114,0,0,0,102,7,5,19,56,39
4/1/2020,Hospital Tuanku Jaafar,Negeri Sembilan,48,12,14,19,3,0,48,48,0,0,0,44,3,1,15,32,1
4/1/2020,Hospital Tengku Ampuan Afzan,Pahang,42,17,12,13,0,0,42,41,0,0,1,30,10,2,12,21,9
4/1/2020,Hospital Sultan Haji Ahmad Shah,Pahang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2020,Hospital Seberang Jaya,Pulau Pinang,24,6,8,10,0,0,24,24,0,0,0,20,4,0,6,13,5
4/1/2020,Hospital Pulau Pinang,Pulau Pinang,22,5,4,11,2,22,0,22,0,0,0,21,1,0,2,20,0
4/1/2020,Hospital Raja Permaisuri Bainun,Perak,77,21,20,29,7,0,77,77,0,0,0,67,8,2,17,46,14
4/1/2020,Hospital Taiping,Perak,35,6,12,14,3,0,35,35,0,0,0,33,1,1,9,26,0
4/1/2020,Hospital Seri Manjung,Perak,18,4,6,7,1,0,18,18,0,0,0,14,2,2,2,11,5
4/1/2020,Hospital Tengku Ampuan Rahimah,Selangor,70,14,21,30,5,0,70,70,0,0,0,63,7,0,18,33,19
4/1/2020,Hospital Sultanah Nur Zahirah,Terengganu,35,7,11,15,2,0,35,35,0,0,0,33,2,0,12,16,7
4/1/2020,Hospital Queen Elizabeth II,Sabah,15,4,5,6,0,6,9,15,0,0,0,15,0,0,2,9,4
4/1/2020,Hospital Duchess Of Kent,Sabah,13,3,2,6,2,0,13,13,0,0,0,13,0,0,3,9,1
4/1/2020,Hospital Tawau,Sabah,16,4,5,6,1,0,16,16,0,0,0,16,0,0,3,10,3
4/1/2020,Hospital Umum Sarawak,Sarawak,33,10,8,14,1,0,33,33,0,0,0,30,1,2,4,26,3
4/1/2020,Hospital Miri,Sarawak,35,9,8,12,6,0,35,35,0,0,0,35,0,0,11,21,3
4/1/2020,Hospital Sibu,Sarawak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2020,Pusat Darah Negara,Wilayah Persekutuan (Kuala Lumpur),446,115,116,188,27,102,344,416,21,9,0,396,45,5,78,270,98
5/1/2020,Hospital Sultanah Nora Ismail,Johor,55,13,12,28,2,12,43,47,0,0,8,54,1,0,8,39,8
5/1/2020,Hospital Sultanah Aminah,Johor,139,47,33,54,5,45,94,139,0,0,0,125,14,0,25,87,27
5/1/2020,Hospital Sultanah Bahiyah,Kedah,81,26,21,28,6,16,65,81,0,0,0,21,3,57,20,54,7
5/1/2020,Hospital Raja Perempuan Zainab II,Kelantan,6,2,2,2,0,6,0,6,0,0,0,5,0,1,1,4,1
5/1/2020,Hospital Melaka,Melaka,92,22,22,43,5,0,92,92,0,0,0,87,5,0,51,15,26
5/1/2020,Hospital Tuanku Jaafar,Negeri Sembilan,48,19,11,16,2,0,48,48,0,0,0,45,3,0,17,22,9
5/1/2020,Hospital Tengku Ampuan Afzan,Pahang,50,9,22,17,2,0,50,50,0,0,0,41,4,5,13,31,6
5/1/2020,Hospital Sultan Haji Ahmad Shah,Pahang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1/2020,Hospital Seberang Jaya,Pulau Pinang,73,24,20,23,6,0,73,73,0,0,0,69,4,0,20,37,16
5/1/2020,Hospital Pulau Pinang,Pulau Pinang,269,64,70,123,12,0,269,269,0,0,0,263,6,0,42,210,17
5/1/2020,Hospital Raja Permaisuri Bainun,Perak,150,27,47,65,11,0,150,150,0,0,0,138,11,1,35,93,22
5/1/2020,Hospital Taiping,Perak,43,11,10,18,4,0,43,43,0,0,0,43,0,0,6,33,4
5/1/2020,Hospital Seri Manjung,Perak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/1/2020,Hospital Tengku Ampuan Rahimah,Selangor,134,39,35,54,6,0,134,134,0,0,0,131,3,0,33,89,12
5/1/2020,Hospital Sultanah Nur Zahirah,Terengganu,12,1,3,8,0,12,0,11,1,0,0,12,0,0,0,9,3
5/1/2020,Hospital Queen Elizabeth II,Sabah,14,7,4,3,0,0,14,14,0,0,0,14,0,0,1,11,2
5/1/2020,Hospital Duchess Of Kent,Sabah,60,9,17,30,4,0,60,60,0,0,0,53,1,6,33,18,9
5/1/2020,Hospital Tawau,Sabah,57,21,15,16,5,0,57,57,0,0,0,52,3,2,12,39,6
5/1/2020,Hospital Umum Sarawak,Sarawak,184,43,48,73,20,0,184,184,0,0,0,174,8,2,19,154,11
5/1/2020,Hospital Miri,Sarawak,87,16,28,37,6,0,87,87,0,0,0,83,4,0,12,66,9
5/1/2020,Hospital Sibu,Sarawak,106,23,24,55,4,0,106,106,0,0,0,100,3,3,11,90,5
5/1/2020,Pusat Darah Negara,Wilayah Persekutuan (Kuala Lumpur),685,181,165,308,31,94,591,685,0,0,0,620,62,3,128,414,143
6/1/2020,Hospital Sultanah Nora Ismail,Johor,7,0,1,5,1,7,0,7,0,0,0,7,0,0,0,7,0
6/1/2020,Hospital Sultanah Aminah,Johor,60,12,19,27,2,22,38,60,0,0,0,56,2,2,37,17,6
6/1/2020,Hospital Sultanah Bahiyah,Kedah,38,5,8,22,3,10,28,38,0,0,0,15,23,0,22,14,2
6/1/2020,Hospital Raja Perempuan Zainab II,Kelantan,28,10,4,12,2,8,20,28,0,0,0,26,2,0,5,12,11
6/1/2020,Hospital Melaka,Melaka,6,3,0,3,0,6,0,6,0,0,0,5,0,1,1,4,1
6/1/2020,Hospital Tuanku Jaafar,Negeri Sembilan,21,5,6,8,2,21,0,21,0,0,0,20,1,0,2,18,1
6/1/2020,Hospital Tengku Ampuan Afzan,Pahang,7,1,1,3,2,7,0,7,0,0,0,7,0,0,2,2,3
6/1/2020,Hospital Sultan Haji Ahmad Shah,Pahang,12,5,2,4,1,1,11,12,0,0,0,11,1,0,6,4,2
6/1/2020,Hospital Seberang Jaya,Pulau Pinang,8,3,3,2,0,8,0,8,0,0,0,8,0,0,0,8,0
6/1/2020,Hospital Pulau Pinang,Pulau Pinang,19,6,2,9,2,19,0,18,1,0,0,16,3,0,0,18,1
6/1/2020,Hospital Raja Permaisuri Bainun,Perak,15,1,3,11,0,15,0,11,4,0,0,14,1,0,1,12,2
6/1/2020,Hospital Taiping,Perak,19,3,3,13,0,19,0,19,0,0,0,18,1,0,6,11,2
6/1/2020,Hospital Seri Manjung,Perak,3,0,1,2,0,3,0,3,0,0,0,3,0,0,1,2,0
6/1/2020,Hospital Tengku Ampuan Rahimah,Selangor,46,12,9,18,7,9,37,46,0,0,0,39,7,0,12,22,12
6/1/2020,Hospital Sultanah Nur Zahirah,Terengganu,16,3,5,7,1,6,10,16,0,0,0,12,4,0,2,12,2
6/1/2020,Hospital Queen Elizabeth II,Sabah,56,16,16,24,0,13,43,56,0,0,0,56,0,0,8,39,9
6/1/2020,Hospital Duchess Of Kent,Sabah,11,3,0,8,0,11,0,11,0,0,0,10,1,0,7,3,1
6/1/2020,Hospital Tawau,Sabah,5,3,1,1,0,5,0,5,0,0,0,5,0,0,1,4,0
6/1/2020,Hospital Umum Sarawak,Sarawak,22,4,9,8,1,22,0,22,0,0,0,22,0,0,1,20,1
6/1/2020,Hospital Miri,Sarawak,4,1,0,3,0,4,0,4,0,0,0,4,0,0,0,4,0
6/1/2020,Hospital Sibu,Sarawak,6,2,1,3,0,6,0,6,0,0,0,6,0,0,0,4,2
6/1/2020,Pusat Darah Negara,Wilayah Persekutuan (Kuala Lumpur),244,64,71,99,10,70,174,229,8,7,0,212,27,5,32,152,60
7/1/2020,Hospital Sultanah Nora Ismail,Johor,3,0,1,1,1,3,0,3,0,0,0,3,0,0,1,2,0
7/1/2020,Hospital Sultanah Aminah,Johor,109,25,30,46,8,23,86,109,0,0,0,102,7,0,34,47,28
7/1/2020,Hospital Sultanah Bahiyah,Kedah,58,18,15,19,6,20,38,58,0,0,0,53,5,0,12,35,11
7/1/2020,Hospital Raja Perempuan Zainab II,Kelantan,26,4,10,9,3,17,9,26,0,0,0,24,2,0,5,16,5
7/1/2020,Hospital Melaka,Melaka,109,27,25,50,7,13,96,108,1,0,0,61,48,0,29,74,6
7/1/2020,Hospital Tuanku Jaafar,Negeri Sembilan,106,26,26,43,11,25,81,106,0,0,0,102,4,0,26,63,17
7/1/2020,Hospital Tengku Ampuan Afzan,Pahang,82,28,27,18,9,8,74,82,0,0,0,13,69,0,60,20,2
7/1/2020,Hospital Sultan Haji Ahmad Shah,Pahang,8,4,0,4,0,8,0,7,1,0,0,8,0,0,1,6,1
7/1/2020,Hospital Seberang Jaya,Pulau Pinang,5,2,0,3,0,5,0,5,0,0,0,5,0,0,2,3,0
7/1/2020,Hospital Pulau Pinang,Pulau Pinang,50,7,14,23,6,41,9,47,2,0,1,46,3,1,2,43,5
7/1/2020,Hospital Raja Permaisuri Bainun,Perak,15,3,1,9,2,15,0,12,3,0,0,12,2,1,0,13,2
7/1/2020,Hospital Taiping,Perak,11,4,6,1,0,11,0,11,0,0,0,10,0,1,1,10,0
7/1/2020,Hospital Seri Manjung,Perak,2,0,0,1,1,2,0,2,0,0,0,1,1,0,0,2,0
7/1/2020,Hospital Tengku Ampuan Rahimah,Selangor,15,6,1,8,0,3,12,15,0,0,0,14,1,0,3,8,4
7/1/2020,Hospital Sultanah Nur Zahirah,Terengganu,34,8,5,17,4,13,21,34,0,0,0,22,10,2,4,26,4
7/1/2020,Hospital Queen Elizabeth II,Sabah,102,18,25,55,4,12,90,102,0,0,0,95,6,1,25,70,7
7/1/2020,Hospital Duchess Of Kent,Sabah,24,7,7,7,3,8,16,24,0,0,0,24,0,0,13,10,1
7/1/2020,Hospital Tawau,Sabah,2,1,1,0,0,2,0,2,0,0,0,2,0,0,1,1,0
7/1/2020,Hospital Umum Sarawak,Sarawak,54,10,17,22,5,20,34,54,0,0,0,49,4,1,8,39,7
7/1/2020,Hospital Miri,Sarawak,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
7/1/2020,Hospital Sibu,Sarawak,10,2,6,1,1,10,0,10,0,0,0,10,0,0,0,8,2
7/1/2020,Pusat Darah Negara,Wilayah Persekutuan (Kuala Lumpur),301,85,85,115,16,82,219,286,11,4,0,247,45,9,61,172,68
8/1/2020,Hospital Sultanah Nora Ismail,Johor,129,31,38,45,15,3,126,129,0,0,0,125,4,0,47,69,13
8/1/2020,Hospital Sultanah Aminah,Johor,107,21,36,41,9,19,88,107,0,0,0,105,2,0,24,69,14
8/1/2020,Hospital Sultanah Bahiyah,Kedah,37,9,7,17,4,11,26,37,0,0,0,36,1,0,6,23,8
8/1/2020,Hospital Raja Perempuan Zainab II,Kelantan,29,12,5,7,5,16,13,29,0,0,0,25,4,0,10,16,3
8/1/2020,Hospital Melaka,Melaka,151,43,36,65,7,20,131,151,0,0,0,68,82,1,50,92,9
8/1/2020,Hospital Tuanku Jaafar,Negeri Sembilan,79,19,24,31,5,25,54,79,0,0,0,77,1,1,18,51,10
8/1/2020,Hospital Tengku Ampuan Afzan,Pahang,22,2,7,11,2,8,14,21,0,0,1,18,2,2,11,10,1
8/1/2020,Hospital Sultan Haji Ahmad Shah,Pahang,87,26,26,29,6,7,80,37,0,0,50,33,2,52,29,32,26
8/1/2020,Hospital Seberang Jaya,Pulau Pinang,45,7,20,15,3,13,32,45,0,0,0,42,2,1,19,20,6
8/1/2020,Hospital Pulau Pinang,Pulau Pinang,97,26,30,36,5,27,70,96,1,0,0,96,1,0,12,63,22
8/1/2020,Hospital Raja Permaisuri Bainun,Perak,60,13,20,23,4,15,45,57,3,0,0,20,38,2,28,28,4
8/1/2020,Hospital Taiping,Perak,13,3,7,3,0,13,0,13,0,0,0,11,2,0,2,11,0
8/1/2020,Hospital Seri Manjung,Perak,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
8/1/2020,Hospital Tengku Ampuan Rahimah,Selangor,126,25,38,57,6,8,118,126,0,0,0,104,22,0,69,53,4
8/1/2020,Hospital Sultanah Nur Zahirah,Terengganu,8,1,3,3,1,8,0,7,1,0,0,7,1,0,0,7,1
8/1/2020,Hospital Queen Elizabeth II,Sabah,70,11,18,40,1,23,47,70,0,0,0,40,30,0,25,38,7
8/1/2020,Hospital Duchess Of Kent,Sabah,20,4,4,12,0,8,12,20,0,0,0,20,0,0,7,9,4
8/1/2020,Hospital Tawau,Sabah,7,1,2,3,1,7,0,7,0,0,0,7,0,0,0,7,0
8/1/2020,Hospital Umum Sarawak,Sarawak,65,11,25,22,7,16,49,65,0,0,0,56,9,0,11,41,13
8/1/2020,Hospital Miri,Sarawak,4,1,0,3,0,4,0,4,0,0,0,4,0,0,0,4,0
8/1/2020,Hospital Sibu,Sarawak,18,3,5,10,0,3,15,18,0,0,0,15,3,0,3,14,1
8/1/2020,Pusat Darah Negara,Wilayah Persekutuan (Kuala Lumpur),580,156,153,236,35,83,497,559,11,9,1,450,118,12,238,257,85
9/1/2020,Hospital Sultanah Nora Ismail,Johor,3,0,1,2,0,3,0,3,0,0,0,1,2,0,0,3,0
9/1/2020,Hospital Sultanah Aminah,Johor,107,28,26,51,2,13,94,107,0,0,0,102,5,0,38,48,21
9/1/2020,Hospital Sultanah Bahiyah,Kedah,48,14,12,19,3,19,29,47,1,0,0,31,17,0,22,24,2
9/1/2020,Hospital Raja Perempuan Zainab II,Kelantan,47,16,10,17,4,10,37,47,0,0,0,28,19,0,20,19,8
9/1/2020,Hospital Melaka,Melaka,18,5,3,9,1,18,0,18,0,0,0,18,0,0,2,12,4
9/1/2020,Hospital Tuanku Jaafar,Negeri Sembilan,104,23,33,42,6,26,78,103,0,0,1,24,80,0,56,35,13
9/1/2020,Hospital Tengku Ampuan Afzan,Pahang,67,23,20,19,5,13,54,67,0,0,0,64,2,1,25,36,6
9/1/2020,Hospital Sultan Haji Ahmad Shah,Pahang,12,6,1,5,0,12,0,12,0,0,0,12,0,0,0,10,2
9/1/2020,Hospital Seberang Jaya,Pulau Pinang,49,16,14,16,3,16,33,49,0,0,0,48,1,0,27,16,6
9/1/2020,Hospital Pulau Pinang,Pulau Pinang,67,16,17,27,7,27,40,67,0,0,0,66,1,0,6,52,9
9/1/2020,Hospital Raja Permaisuri Bainun,Perak,30,4,9,15,2,14,16,24,6,0,0,27,2,1,6,15,9
9/1/2020,Hospital Taiping,Perak,8,2,4,2,0,8,0,8,0,0,0,8,0,0,2,6,0
9/1/2020,Hospital Seri Manjung,Perak,6,1,0,2,3,6,0,6,0,0,0,6,0,0,2,4,0
9/1/2020,Hospital Tengku Ampuan Rahimah,Selangor,111,24,30,51,6,7,104,111,0,0,0,86,25,0,29,64,18
9/1/2020,Hospital Sultanah Nur Zahirah,Terengganu,24,4,12,8,0,8,16,23,1,0,0,7,17,0,14,10,0
9/1/2020,Hospital Queen Elizabeth II,Sabah,62,22,10,28,2,19,43,61,1,0,0,60,2,0,15,38,9
9/1/2020,Hospital Duchess Of Kent,Sabah,23,3,6,13,1,7,16,23,0,0,0,23,0,0,9,11,3
9/1/2020,Hospital Tawau,Sabah,4,1,2,1,0,4,0,4,0,0,0,4,0,0,0,4,0
9/1/2020,Hospital Umum Sarawak,Sarawak,38,8,17,9,4,15,23,38,0,0,0,35,1,2,5,30,3
9/1/2020,Hospital Miri,Sarawak,9,0,3,5,1,9,0,9,0,0,0,9,0,0,0,8,1
9/1/2020,Hospital Sibu,Sarawak,4,2,1,1,0,4,0,4,0,0,0,4,0,0,0,4,0
9/1/2020,Pusat Darah Negara,Wilayah Persekutuan (Kuala Lumpur),398,91,99,182,26,84,314,378,12,8,0,250,40,108,81,214,103
10/1/2020,Hospital Sultanah Nora Ismail,Johor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/2020,Hospital Sultanah Aminah,Johor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/2020,Hospital Sultanah Bahiyah,Kedah,33,4,11,15,3,0,33,33,0,0,0,32,1,0,3,24,6
10/1/2020,Hospital Raja Perempuan Zainab II,Kelantan,36,5,11,17,3,0,36,36,0,0,0,29,7,0,15,9,12
10/1/2020,Hospital Melaka,Melaka,265,67,84,99,15,7,258,265,0,0,0,16,249,0,163,98,4
10/1/2020,Hospital Tuanku Jaafar,Negeri Sembilan,21,3,4,11,3,21,0,21,0,0,0,20,1,0,0,19,2
10/1/2020,Hospital Tengku Ampuan Afzan,Pahang,11,5,4,2,0,11,0,11,0,0,0,10,1,0,1,10,0
10/1/2020,Hospital Sultan Haji Ahmad Shah,Pahang,46,10,13,22,1,3,43,3,0,0,43,42,4,0,7,29,10
10/1/2020,Hospital Seberang Jaya,Pulau Pinang,70,20,20,28,2,7,63,70,0,0,0,13,57,0,45,13,12
10/1/2020,Hospital Pulau Pinang,Pulau Pinang,24,6,5,13,0,24,0,22,2,0,0,22,1,1,3,18,3
10/1/2020,Hospital Raja Permaisuri Bainun,Perak,10,1,2,6,1,10,0,7,3,0,0,9,0,1,0,9,1
10/1/2020,Hospital Taiping,Perak,10,1,5,2,2,10,0,10,0,0,0,9,1,0,0,10,0
10/1/2020,Hospital Seri Manjung,Perak,2,0,1,1,0,2,0,2,0,0,0,1,0,1,0,2,0
10/1/2020,Hospital Tengku Ampuan Rahimah,Selangor,148,35,39,66,8,10,138,148,0,0,0,124,5,19,28,63,57
10/1/2020,Hospital Sultanah Nur Zahirah,Terengganu,57,15,17,23,2,0,57,57,0,0,0,52,5,0,11,35,11
10/1/2020,Hospital Queen Elizabeth II,Sabah,72,19,18,33,2,21,51,72,0,0,0,68,3,1,20,44,8
10/1/2020,Hospital Duchess Of Kent,Sabah,11,1,1,9,0,11,0,11,0,0,0,10,1,0,4,5,2
10/1/2020,Hospital Tawau,Sabah,27,5,4,17,1,12,15,27,0,0,0,25,2,0,7,16,4
10/1/2020,Hospital Umum Sarawak,Sarawak,9,2,2,5,0,9,0,9,0,0,0,8,0,1,0,8,1
10/1/2020,Hospital Miri,Sarawak,13,3,1,9,0,13,0,13,0,0,0,13,0,0,0,13,0
10/1/2020,Hospital Sibu,Sarawak,7,1,4,2,0,7,0,7,0,0,0,6,0,1,0,6,1
10/1/2020,Pusat Darah Negara,Wilayah Persekutuan (Kuala Lumpur),499,132,154,181,32,75,424,484,10,5,0,309,44,146,133,253,113
11/1/2020,Hospital Sultanah Nora Ismail,Johor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/1/2020,Hospital Sultanah Aminah,Johor,106,23,31,45,7,0,106,106,0,0,0,95,11,0,29,50,27
11/1/2020,Hospital Sultanah Bahiyah,Kedah,52,12,15,24,1,0,52,52,0,0,0,50,2,0,8,32,12
